year,region,asthma_2000_pop,asthma_2000_pop_urban,asthma_2000_pop_non_urban,asthma_2000_exp,asthma_2000_exp_urban,asthma_2000_exp_non_urban,asthma_2000_rate,asthma_2000_rate_urban,asthma_2000_rate_non_urban
2016,134,141478.31,107446.305,0.0031899898,127691.26,99635.875,0.00262977,141722.77,108377.7,0.0031256117
2016,138,209782.78,127910.41,0.00444979,213676.0,137428.42,0.0041440893,233025.9,151354.83,0.004438835
2016,159,150243.4,80229.266,0.0129492115,128040.94,74114.875,0.009969328,128408.52,70874.41,0.010641031
2016,167,2796.841,2088.474,0.00012451016,8096.692,7358.1704,0.00012980994,12765.763,11425.467,0.0002355846
2016,174,25559.287,13554.1455,0.0015287481,31625.023,18617.582,0.0016563814,42427.16,24493.027,0.002283749
2016,192,15031.291,9783.072,0.0013349412,14119.633,10055.957,0.0010336391,19976.979,13813.417,0.0015677675
2016,199,47021.766,31155.895,0.0016923199,63293.05,43480.47,0.0021132934,79791.03,53812.117,0.0027710232
2017,5,337542.7,184937.3,0.011126537,370056.44,211274.1,0.0115756225,207637.1,120766.22,0.0063338205
2017,9,125635.34,91118.22,0.0064849965,109281.625,88341.61,0.003931459,128394.83,97718.17,0.0057634707
2017,21,178.38115,45.686222,0.00021421858,137.2492,50.310493,0.00014023705,304.54453,69.15023,0.00038001334
2017,32,20179.2,8585.102,0.0011544416,18228.72,8550.579,0.0009636149,20614.293,9356.076,0.0011209962
2017,42,29472.385,11877.595,0.008843048,34313.36,13875.42,0.0102720065,23710.607,9760.404,0.0070113046
2017,56,50082.164,31653.99,0.0004305255,62493.223,41209.055,0.00049724936,54228.594,35862.133,0.0004290845
2017,65,63606.45,54016.254,0.01465521,50125.914,43757.79,0.009731403,59767.44,50953.133,0.01346953
2017,70,5514.303,4080.837,0.00013758652,7266.2856,5525.562,0.0001670775,7039.3545,5239.596,0.00017274384
2017,73,95841.695,55576.855,0.0034452747,141988.47,84107.875,0.004933539,99479.68,60174.85,0.0033631327
2017,96,31436.385,23289.742,0.0015184947,37239.656,28409.602,0.0016444533,30181.773,22595.752,0.001413995
2017,100,320486.94,216821.33,0.002768117,618920.3,410397.38,0.005564328,247330.3,167305.31,0.0021368542
2017,104,16773.898,12141.252,0.006433321,18118.27,13223.977,0.006796674,17062.365,12654.622,0.0061210045
2017,120,35190.715,25981.516,0.0029266598,41504.703,31483.617,0.0031814026,46538.56,34961.87,0.0036790355
2017,124,111563.53,86450.29,0.004603724,135956.7,107443.34,0.005218276,108783.836,82865.61,0.0047512925
2017,134,148156.61,112330.61,0.0033581501,133918.66,104510.3,0.0027566005,140902.77,107616.69,0.0031200638
2017,138,209152.47,127921.805,0.004414936,222532.33,144421.05,0.0042453944,235330.83,154113.92,0.004414167
2017,159,165378.08,87683.336,0.014369782,134922.0,78317.945,0.010464435,135361.6,74840.625,0.011193461
2017,167,2771.7769,2075.3088,0.00012241841,9066.438,8273.514,0.00013937306,12841.9,11519.299,0.00023247383
2017,174,25750.16,13602.365,0.0015469138,33150.676,19598.66,0.001725726,42436.73,24505.768,0.0022833508
2017,192,15804.014,10385.6045,0.0013782314,15657.66,11209.52,0.0011314332,20477.172,14322.238,0.0015655743
2017,199,46591.652,30917.13,0.0016719077,65208.234,44726.93,0.002184623,82166.44,55435.008,0.002851281
2018,5,311305.97,171401.7,0.010200981,349254.12,200647.34,0.010833768,201807.98,118112.42,0.006102582
2018,9,125421.2,90874.555,0.0064903824,111556.664,90100.8,0.004028298,128373.87,97861.28,0.005732486
2018,21,176.73065,44.230938,0.00021390349,138.06331,49.35812,0.00014308651,309.72775,66.064896,0.0003933618
2018,32,20305.805,8711.6,0.0011544025,18391.227,8423.338,0.0009924643,20599.764,9182.581,0.0011367766
2018,42,28387.262,11433.791,0.008520726,34697.473,14006.143,0.010399347,23216.58,9507.716,0.0068900078
2018,56,48916.902,30850.24,0.0004220819,63315.246,41763.562,0.0005034981,53275.2,35152.31,0.000423394
2018,65,61982.098,52504.395,0.014483289,51548.344,45143.285,0.009787838,56841.504,48601.668,0.012591653
2018,70,5511.061,4081.4365,0.00013721759,7328.2383,5572.8447,0.00016848555,7047.3447,5252.177,0.00017230307
2018,73,90647.586,52602.312,0.0032553435,143494.81,84987.58,0.0049869595,93309.33,56594.58,0.0031414991
2018,96,30638.926,22495.117,0.0015182109,37715.56,28695.412,0.0016798571,29867.275,22090.586,0.0014497672
2018,100,308902.22,208421.25,0.0026829955,626943.75,415532.2,0.005641432,238860.58,161214.38,0.0020732756
2018,104,16633.84,12020.098,0.0064070793,18130.09,13250.13,0.006776768,16981.441,12586.803,0.006102799
2018,120,34772.37,25598.29,0.0029158904,42279.996,32109.73,0.0032287652,46252.918,34680.836,0.0036780676
2018,124,107514.12,83059.234,0.004482895,137101.11,108077.336,0.005311689,104697.23,79242.24,0.0046662455
2018,134,151366.62,114284.93,0.003475845,137463.39,107270.49,0.0028301345,139363.67,106018.984,0.0031255763
2018,138,206031.56,125793.26,0.0043609682,226933.03,147547.42,0.00431462,233687.31,152811.47,0.0043956363
